0,0,1,0,1,-0.07,1,-0.07
1280,720,1,-0.01,0.99,-0.15,0.98,-0.17
670.5,638.3,1,-0.01,0.97,-0.23,0.96,-0.28
672.4,638.3,1,-0.02,0.95,-0.31,0.92,-0.38
674.3,638.3,1,-0.02,0.93,-0.38,0.88,-0.48
676.2,638.2,1,-0.03,0.89,-0.45,0.81,-0.58
687.7,637.7,1,-0.06,0.57,-0.82,0.29,-0.96
689.6,637.6,1,-0.06,0.5,-0.87,0.2,-0.98
691.5,637.4,1,-0.06,0.41,-0.91,0.1,-0.99
293.4,237.3,1,-0.06,0.32,-0.95,0,-1
295.3,237.2,1,-0.06,0.23,-0.97,-0.09,-1
297.3,237.1,1,-0.06,0.13,-0.99,-0.18,-0.98
299.2,237,1,-0.06,0.03,-1,-0.27,-0.96
301.1,236.8,1,-0.06,-0.08,-1,-0.35,-0.94
303.1,236.7,1,-0.05,-0.19,-0.98,-0.43,-0.9
305,236.6,1,-0.05,-0.29,-0.96,-0.5,-0.86
306.9,236.5,1,-0.04,-0.4,-0.92,-0.57,-0.82
308.9,236.5,1,-0.03,-0.5,-0.87,-0.64,-0.77
310.8,236.4,1,-0.03,-0.6,-0.8,-0.7,-0.72
312.8,236.3,1,-0.02,-0.69,-0.73,-0.75,-0.66
